1000	1
2000	1
3000	0
4000	1
5000	0
6000	1
7000	1
8000	1
9000	0
10000	1
11000	1
12000	1
13000	0
14000	1
15000	1
16000	2
17000	1
18000	1
19000	1
20000	1
21000	1
22000	1
23000	1
24000	1
25000	1
26000	1
27000	1
28000	1
29000	1
30000	1
31000	1
32000	1
33000	1
34000	1
35000	1
36000	1
37000	1
38000	1
39000	1
40000	1
41000	0
42000	1
43000	1
44000	1
45000	1
46000	1
47000	1
48000	1
49000	2
50000	1
51000	1
52000	2
53000	1
54000	1
55000	1
56000	0
57000	1
58000	1
59000	1
60000	1
61000	2
62000	2
63000	0
64000	0
65000	1
66000	1
67000	2
68000	1
69000	2
70000	2
71000	1
72000	1
73000	1
74000	1
75000	2
76000	1
77000	2
78000	1
79000	1
80000	1
81000	1
82000	1
83000	0
84000	1
85000	1
86000	2
87000	1
88000	1
89000	2
90000	2
91000	2
92000	1
93000	1
94000	2
95000	1
96000	1
97000	1
98000	1
99000	1
100000	1
